month,day_of_week,member_count,casual_count,total_rides,classic_bike_count,electric_bike_count,docked_bike_count,average_ride_length,average_ride_length_casual,casual_classic_bike_count,casual_electric_bike_count,casual_docked_bike_count,average_ride_length_member,member_classic_bike_count,member_electric_bike_count,member_docked_bike_count
9,3,43673,24322,67995,49425,16244,2326,925.36970365467948,1314.4995477345606,15079,6917,2326,708.65878231401462,34346,9327,0
1,3,10914,1590,12504,8405,4003,96,653.53366922584678,963.45345911949687,813,681,96,608.38317757009236,7592,3322,0
4,3,28326,17923,46249,33880,8723,3646,1371.3190771692289,2183.9621715114627,10599,3678,3646,857.12709171785662,23281,5045,0
11,3,38424,10112,48536,29242,18475,819,718.71369704961342,1059.8789556962004,4233,5060,819,628.92962731626062,25009,13415,0
3,3,21145,9297,30442,22818,5790,1834,1177.4104855134349,2044.589007206625,5560,1903,1834,796.1308110664437,17258,3887,0
5,4,33704,18922,52626,37062,12705,2859,1148.5785923307835,1759.1689039213629,10761,5302,2859,805.78278542606324,26301,7403,0
11,4,29390,8722,38112,22860,14549,703,746.4596190176328,1095.1727814721396,3825,4194,703,642.97284790744936,19035,10355,0
12,4,25415,6651,32066,18292,13142,632,753.90934322958913,1270.8222823635556,2853,3166,632,618.63537281133085,15439,9976,0
3,4,20468,7685,28153,21009,5841,1303,1027.1509963414192,1752.4081977878993,4524,1858,1303,754.84292554230922,16485,3983,0
2,4,5793,926,6719,5454,1172,93,971.293644887632,1704.4654427645783,609,224,93,854.09753150353833,4845,948,0
10,4,44943,18616,63559,41496,20427,1636,843.14298525779782,1215.5755264288819,9437,7543,1636,688.87637674387258,32059,12884,0
1,4,10458,1581,12039,8392,3526,121,698.36522967023814,1321.4705882352948,866,594,121,604.16657104609135,7526,2932,0
4,4,22533,10343,32876,23982,6976,1918,1131.1658048424388,1895.5318572947886,6059,2366,1918,780.30981227533,17923,4610,0
7,4,45833,37945,83778,61279,17184,5315,1135.5761058989251,1558.1640532349352,23986,8644,5315,785.71684157702407,37293,8540,0
9,4,59534,35204,94738,72385,19224,3129,959.87307099580289,1332.6130553346268,23632,8443,3129,739.46224006450177,48753,10781,0
8,4,44629,32305,76934,56983,16096,3855,1057.2338497933326,1461.7723572202444,20929,7521,3855,764.40594680588731,36054,8575,0
6,4,55558,39100,94658,68199,20572,5887,1188.2589427201062,1720.31578005115,23594,9619,5887,813.81381619208685,44605,10953,0
4,5,24599,10406,35005,25117,8356,1532,970.77380374232519,1440.8633480684239,5961,2913,1532,771.91402089515952,19156,5443,0
6,5,41923,33123,75046,53033,16887,5126,1278.9410761399649,1865.4857349877645,19716,8281,5126,815.51721012332177,33317,8606,0
9,5,60103,39555,99658,74847,21168,3643,986.18894619598655,1357.6895967640021,26158,9754,3643,741.69685373442451,48689,11414,0
7,5,55008,46594,101602,76071,19478,6053,1132.8297572882473,1546.6629823582473,30846,9695,6053,782.29628417684478,45225,9783,0
11,5,22622,6933,29555,17515,11401,639,722.31395702926545,1017.7928746574364,3025,3269,639,631.75806736804975,14490,8132,0
3,5,14413,4803,19216,14639,3847,730,886.756036636136,1419.6296064959386,2962,1111,730,709.18080899188294,11677,2736,0
8,5,46774,38221,84995,63539,16843,4613,1112.0941467145053,1526.3730148347709,25226,8382,4613,773.56948304613115,38313,8461,0
10,5,35685,15089,50774,32662,16936,1176,784.83877575136853,1108.8763337530681,7750,6163,1176,647.82314698052232,24912,10773,0
1,5,11322,1741,13063,8903,4058,102,640.28546275740541,978.93911545089054,924,715,102,588.21021021020908,7979,3343,0
2,5,5225,842,6067,4862,1130,75,875.58331959782458,1332.4501187648457,557,210,75,801.95999999999913,4305,920,0
12,5,26043,8122,34165,19119,14298,748,763.67279379481863,1181.6873922679147,3398,3976,748,633.307069078066,15721,10322,0
5,5,30519,18582,49101,33639,12412,3050,1185.645709863343,1828.4638359702942,10170,5362,3050,794.25521806088057,23469,7050,0
7,6,53946,59247,113193,80961,23584,8648,1231.970342689028,1625.5300015190555,37786,12813,8648,799.73757090423794,43175,10771,0
2,6,5682,1222,6904,5507,1221,176,1072.8700753186563,2252.7921440261871,777,269,176,819.10999648011227,4730,952,0
3,6,16004,6846,22850,17220,4541,1089,1002.7791684901526,1599.3504236050262,4128,1629,1089,747.58504123968953,13092,2912,0
11,6,21574,8199,29773,17622,11304,847,817.92486481039839,1297.1636784973782,3720,3632,847,635.79456753499619,13902,7672,0
8,6,44725,48168,92893,68550,18048,6295,1198.5440130042116,1576.701565354592,32204,9669,6295,791.27530463946687,36346,8379,0
5,6,30110,24952,55062,36602,13761,4699,1296.2333732882955,1879.8964010900902,13501,6752,4699,812.55486549319107,23101,7009,0
1,6,9083,1698,10781,7542,3130,109,719.60050088118089,1261.8875147232043,957,632,109,618.22393482329494,6585,2498,0
4,6,31581,19788,51369,36545,11159,3665,1192.9912593198198,1787.9748332322613,11446,4677,3665,820.18688451917239,25099,6482,0
6,6,40256,43073,83329,58064,17824,7441,1364.7785764859857,1859.0278596800831,26007,9625,7441,835.94313891096613,32057,8199,0
12,6,21415,8358,29773,16691,12191,891,840.47002317535782,1355.1788705431936,3604,3863,891,639.58575764650789,13087,8328,0
10,6,45736,28526,74262,48493,22544,3225,971.76762004793977,1406.6837621818702,15626,9675,3225,700.50607836277811,32867,12869,0
9,6,43778,39376,83154,61561,16898,4695,1123.4761406546904,1498.8881806176344,26236,8445,4695,785.8128283612773,35325,8453,0
4,7,23562,25010,48572,34011,8894,5667,1587.9096804743506,2179.6189924030414,14792,4551,5667,959.83694083694093,19219,4343,0
12,7,13518,7564,21082,11882,8174,1026,943.685276539228,1397.26229508197,3463,3075,1026,689.88615179760143,8419,5099,0
1,7,8391,2681,11072,7454,3363,255,774.46305997109846,1210.0119358448346,1545,881,255,635.30127517578376,5909,2482,0
3,7,20897,20301,41198,29417,7158,4623,1547.4626195446378,2183.0536919363508,12132,3546,4623,929.99913863234019,17285,3612,0
8,7,43572,71882,115454,88561,17074,9819,1448.9714345107195,1765.6980746222937,51562,10501,9819,926.45825300651632,36999,6573,0
11,7,21138,14373,35511,20924,12614,1973,1018.7036692855788,1446.9332080985173,6778,5622,1973,727.524600246004,14146,6992,0
2,7,5642,3118,8760,6770,1387,603,1566.3704337899533,2624.5821039127659,1996,519,603,981.5593761077638,4774,868,0
10,7,47999,51991,99990,65873,27034,7083,1260.5614761476156,1670.4126675770838,30198,14710,7083,816.6236171586919,35675,12324,0
9,7,41396,62248,103644,76749,18019,8876,1424.9839450426473,1783.3398984706369,42533,10839,8876,886.1168711952846,34216,7180,0
7,7,50215,88908,139123,102221,22037,14865,1531.5515047835406,1874.5952557700098,60079,13964,14865,924.176540874241,42142,8073,0
6,7,38848,63237,102085,73234,17643,11208,1607.4758583533417,2025.7717791799043,41137,10892,11208,926.57132928335977,32097,6751,0
5,7,39656,56215,95871,65581,18345,11945,1690.1071752667701,2202.66816685938,33522,10748,11945,963.51810570909743,32059,7597,0
