total_rides,start_station_name,lng,lat
21436,Halsted St & Roscoe St,-87.648941258279081,41.943674870992794
20538,DuSable Lake Shore Dr & Monroe St,-87.6167450016378,41.8809720666619
20499,Broadway & Cornelia Ave,-87.646440452835222,41.945527870381888
20480,Broadway & Waveland Ave,-87.648627717116582,41.949072391815456
20210,State St & Kinzie St,-87.627751159154073,41.8891960589728
20205,Damen Ave & Pierce Ave,-87.677693623655017,41.9093957017149
20195,Green St & Randolph St,-87.648636819478071,41.88363238016543
20122,McClurg Ct & Erie St,-87.6179809108292,41.894519870553644
20067,Rush St & Cedar St,-87.627726445722885,41.9023407742075
20052,Clinton St & Washington Blvd,-87.6412081606165,41.883366141033278
20029,Dusable Harbor,-87.612812409576,41.886971973233308
19657,Rush St & Superior St,-87.625959478245179,41.895752819656536
19590,Pine Grove Ave & Waveland Ave,-87.646455275661808,41.949449141540555
19485,State St & Randolph St,-87.627880798785938,41.884650239798269
19424,Kingsbury St & Erie St,-87.641721448420014,41.893831268857618
19287,Montrose Harbor,-87.638183785821042,41.963977960089338
19279,Bissell St & Armitage Ave,-87.652218150326632,41.918430603073375
19050,Southport Ave & Roscoe St,-87.664010751135066,41.943728133022034
19025,Morgan St & Lake St,-87.652265070982438,41.885504685042775
19002,Wilton Ave & Diversey Pkwy,-87.652709172649224,41.932420505693045
18967,Sheffield Ave & Waveland Ave,-87.654511914992511,41.949358750008493
18951,Halsted St & Wrightwood Ave,-87.649090281856729,41.929148966442931
18944,Clark St & Wellington Ave,-87.647549606818714,41.936499677396931
18801,Federal St & Polk St,-87.629560254083216,41.872088666356582
18752,Halsted St & Clybourn Ave,-87.6481233874197,41.909652612960791
18722,Michigan Ave & 8th St,-87.623985589270632,41.872726619651829
18591,Orleans St & Merchandise Mart Plaza,-87.636568412441946,41.888158353167682
18589,Milwaukee Ave & Grand Ave,-87.648352629686471,41.891595432197654
18204,Sheffield Ave & Fullerton Ave,-87.653709271111907,41.925599631341434
18109,Daley Center Plaza,-87.629601164803518,41.884185971577118
18071,Mies van der Rohe Way & Chestnut St,-87.622048515507359,41.8985797220469
17954,Southport Ave & Waveland Ave,-87.663961121466926,41.948140124935307
17811,Stockton Dr & Wrightwood Ave,-87.638735412324138,41.931321829475152
17715,Sheffield Ave & Wellington Ave,-87.65258109423543,41.93626650534685
17524,Dearborn St & Monroe St,-87.629597765633378,41.881217252696864
17211,Clinton St & Lake St,-87.641839650519955,41.885589422338683
17076,Sheffield Ave & Webster Ave,-87.65381326414105,41.9215833495011
16976,Wabash Ave & 9th St,-87.625736204694391,41.870737751056154
16962,Ellis Ave & 60th St,-87.60107457973686,41.78509867451416
16885,Halsted St & Dickens Ave,-87.648837981654935,41.919946405825321
16835,Franklin St & Illinois St,-87.635459645783811,41.891023976532786
16775,Canal St & Adams St,-87.639936737417074,41.879318708949022
16754,Franklin St & Jackson Blvd,-87.635280405829064,41.877731996398566
16749,Sedgwick St & North Ave,-87.638678472868293,41.911376690694262
16438,Clark St & Grace St,-87.659175280123662,41.950800931857955
16415,Loomis St & Lexington St,-87.661496143736443,41.8721883518245
16405,Broadway & Belmont Ave,-87.645458477517749,41.94010515253219
16372,Mies van der Rohe Way & Chicago Ave,-87.621736159045327,41.896975183546921
16088,Lakefront Trail & Bryn Mawr Ave,-87.65231264534178,41.984033068309948
16004,Larrabee St & Kingsbury St,-87.642994142788,41.897722558469752
15996,Sheffield Ave & Wrightwood Ave,-87.653826830564512,41.928705568154648
15928,Clark St & Lake St,-87.630889316341907,41.885991048278534
15863,Lincoln Ave & Diversey Pkwy,-87.658634050513811,41.932216298076014
15860,Wabash Ave & Wacker Pl,-87.626057285134948,41.8868837738361
15578,Franklin St & Lake St,-87.63548037703,41.885818534897993
15548,Clark St & Randolph St,-87.631776998533553,41.88459328892921
15503,Sedgwick St & Webster Ave,-87.638906153353,41.922169928086113
15266,Wood St & Milwaukee Ave,-87.67254129569244,41.907646465055748
15251,Peoria St & Jackson Blvd,-87.649582584898752,41.877646374670476
15220,University Ave & 57th St,-87.599869012942364,41.791478879381181
15097,Adler Planetarium,-87.607277030478855,41.866100238703012
14909,LaSalle Dr & Huron St,-87.632304960958422,41.894829559633216
14835,Lincoln Park Conservatory,-87.63583664228824,41.923956596080863
14691,Racine Ave & Fullerton Ave,-87.6584208158357,41.925577391211725
14666,Sheridan Rd & Montrose Ave,-87.654641949570461,41.961647160462242
14527,Clark St & Chicago Ave,-87.6308796209975,41.896721764094451
14242,Franklin St & Chicago Ave,-87.635695312635178,41.896759148687138
